module,domain,team,
hytech-account-service,ACCOUNT,账户,
HYTECH-ACCOUNT-READ-SERVICE,ACCOUNT-SERVICE-READ,账户,
APP-READ-SERVICE,APP-READ-SERVICE,RD,
basic-brand-admin-service,BASIC,RD,
basic-brand-client-service,BASIC,RD,
hytech-basic-global-admin-service,BASIC,RD,
hytech-basic-global-platform-job,BASIC,RD,
hytech-basic-global-service,BASIC,RD,
hytech-file-job-executor,BASIC,RD,
hytech-file-service,BASIC,RD,
campaign-composite-admin-service,CAMPAIGN,活动,
campaign-composite-client-service,CAMPAIGN,活动,
campaign-composite-job-executor,CAMPAIGN,活动,
campaign-reward-job-executor,CAMPAIGN,活动,
campaign-task-job-executor,CAMPAIGN,活动,
hytech-campaign-reward-admin-service,CAMPAIGN,活动,
hytech-campaign-reward-client-service,CAMPAIGN,活动,
hytech-campaign-task-admin-service,CAMPAIGN,活动,
hytech-campaign-task-client-service,CAMPAIGN,活动,
hytech-card-admin-service,CARD,钱包,
hytech-card-client-service,CARD,钱包,
data-center-service,COMMON,RD,
hytech-af-platform-job,COMMON,风控,
hytech-risk-admin-service,COMMON,风控,
hytech-risk-platform-job,COMMON,风控,
hytech-security-platform-job,COMMON,风控,
hytech-kafka-center,COMMON,风控,
sentinel-dashboard,COMMON,RD,
xxl-job-admin,COMMON,RD,
hytech-coupon-service,COUPON,活动,
hytech-cpa-admin-service,CPA,IB代理佣金,
hytech-cpa-client-service,CPA,IB代理佣金,
hytech-cpa-job-executor,CPA,IB代理佣金,
hytech-earn-admin-service,EARN,钱包,
hytech-earn-client-service,EARN,钱包,
cpa-portal,FRONT-END,IB代理佣金,
hytech-api-gateway,GATEWAY,RD,
hytech-basic-gateway,GATEWAY,RD,
hytech-campaign-gateway,GATEWAY,活动,
hytech-partner-gateway,GATEWAY,IB代理佣金,
hytech-payment-gateway,GATEWAY,CRM支付,
hytech-security-gateway,GATEWAY,风控,
hytech-user-gateway,GATEWAY,账户,
hytech-wallet-gateway,GATEWAY,钱包,
ib-admin-service,IB,IB代理佣金,
ib-client-service,IB,IB代理佣金,
ib-job-executor,IB,IB代理佣金,
ib-report-admin-service,IB,IB代理佣金,
ib-report-client-read-service,IB,IB代理佣金,
ib-report-client-service,IB,IB代理佣金,
IB-READ-WEB,IB-READ-WEB,RD,
basic-platform-liquibase,LIQUIBASE,RD,
hytech-campaign-liquibase,LIQUIBASE,活动,
hytech-payment-liquibase,LIQUIBASE,CRM支付,
hytech-security-liquibase,LIQUIBASE,风控,
hytech-user-liquibase,LIQUIBASE,账户,
hytech-wallet-liquibase,LIQUIBASE,钱包,
partner-platform-liquibase,LIQUIBASE,IB代理佣金,
hytech-payment-admin-service,PAYMENT,CRM支付,
hytech-payment-client-service,PAYMENT,CRM支付,
hytech-payment-job-backend-service,PAYMENT,CRM支付,
hytech-payment-job-executor,PAYMENT,CRM支付,
hytech-payment-open-service,PAYMENT,CRM支付,
hytech-payment-client-read-service,PAYMENT-SERVICE-READ,CRM支付,
auth-server-platform-job,PLATFORM-JOB,账户,
hytech-campaign-platform-job,PLATFORM-JOB,活动,
hytech-user-platform-job,PLATFORM-JOB,账户,
hytech-wallet-platform-job,PLATFORM-JOB,钱包,
hytech-af-service,SECURITY,风控,
hytech-generate-service,SECURITY,风控,
hytech-risk-service,SECURITY,风控,
hytech-security-service,SECURITY,风控,
SHARE-INTERNAL-SERVICE,SSO,RD,
auth-server,SSO,账户,
copy-trading-gateway,ST-ANO,跟单,主车工单上写“未上线”
ct-trade-listener,ST-ANO,跟单,主车工单上写“未上线”
ct-trade-service,ST-ANO,跟单,主车工单上写“未上线”
hytech-superapp-service,SUPER-APP,SUPERAPP,
hytech-account-admin-service,USER,账户,
hytech-user-admin-service,USER,账户,
hytech-user-job-backend-service,USER,账户,
hytech-user-service,USER,账户,
HYTECH-USER-READ-SERVICE,USER-SERVICE-READ,账户,
hytech-vip-admin-service,VIP,活动,
hytech-vip-job-executor,VIP,活动,
hytech-vip-service,VIP,活动,
hytech-earn-admin-service,WALLET,钱包,
hytech-earn-client-service,WALLET,钱包,
hytech-wallet-admin-service,WALLET,钱包,
hytech-wallet-client-service,WALLET,钱包,
